"","X","site_id","county","date","year","site_name","transect_num","meadow_width_m","emergent_width_m","submergent_width_m","point_num","gps_lon","gps_lat","water_depth_cm","bottom_vis","substrate_type","org_depth_cm","unvegetated_pcnt","total_cover_pcnt","standing_dead_pcnt","detritus_pcnt","variable","Hydrocharis.morsus.ranae","Phragmites.australis","Phragmites.australis..native.","Typha.angustifolia","Typha.glauca","Typha.glauca..hybrid.","Typha.latifolia","Typha.sp.","typha_combined","hyd_bin","typh_bin","UTM","UTM_X","UTM_Y"
"30",30,428,"Macomb","9/20/2016",2016,"Black Creek Area Wetland",2,0,25,44,6,-82.79659879,42.58525651,127,"NV","Cly/Snd",29,28,72,10,100,"percent_cover",50,0,0,10,5,0,0,0,5,1,1,"17N",844934.054727669,4723329.90900267
"31",31,428,"Macomb","9/20/2016",2016,"Black Creek Area Wetland",2,0,25,44,7,-82.79652034,42.58530278,119,"NV","Cly/Slt",28,0,100,5,100,"percent_cover",70,0,0,19,0,0,0,0,0,1,0,"17N",844940.237780832,4723335.36822805
"32",32,428,"Macomb","9/20/2016",2016,"Black Creek Area Wetland",2,0,25,44,8,-82.79642671,42.58534016,110,"NV","Cly/Snd",33,18,82,15,80,"percent_cover",20,0,0,7,40,0,0,0,40,1,1,"17N",844947.715800817,4723339.90205054
"33",33,428,"Macomb","9/20/2016",2016,"Black Creek Area Wetland",2,0,25,44,9,-82.79639528,42.58536053,117,"NV","Cly/Slt",31,29,71,10,100,"percent_cover",35,0,0,15,10,0,0,0,10,1,1,"17N",844950.182833473,4723342.29275356
"34",34,428,"Macomb","9/20/2016",2016,"Black Creek Area Wetland",2,0,25,44,10,-82.79629621,42.58540722,106,"NV","Cly/Slt",36,39,61,15,100,"percent_cover",50,0,0,7,0,0,0,0,0,1,0,"17N",844958.055887533,4723347.88281494
"35",35,428,"Macomb","9/20/2016",2016,"Black Creek Area Wetland",3,0,55,93,6,-82.79590092,42.58313271,39,"V","Cly/Snd",12,0,100,15,100,"percent_cover",2,0,0,98,0,0,0,0,0,1,0,"17N",845003.064079755,4723096.87669456
"36",36,428,"Macomb","9/20/2016",2016,"Black Creek Area Wetland",3,0,55,93,7,-82.79597292,42.58306967,36,"V","Cly/Snd",10,20,80,15,100,"percent_cover",4,0,0,75,0,0,0,0,0,1,0,"17N",844997.502861632,4723089.58118589
"37",37,428,"Macomb","9/20/2016",2016,"Black Creek Area Wetland",3,0,55,93,8,-82.79602924,42.58299189,58,"NV","Cly/Snd",19,71,29,4,90,"percent_cover",10,0,0,15,0,0,0,0,0,1,0,"17N",844993.310011884,4723080.71258651
"38",38,428,"Macomb","9/20/2016",2016,"Black Creek Area Wetland",3,0,55,93,9,-82.79608766,42.58292324,40,"V","Cly/Snd",22,1,100,15,100,"percent_cover",20,0,0,79,0,0,0,0,0,1,0,"17N",844988.894354538,4723072.84944637
"39",39,428,"Macomb","9/20/2016",2016,"Black Creek Area Wetland",3,0,55,93,10,-82.79613008,42.58284278,60,"V","Cly/Snd",36,49,51,5,90,"percent_cover",15,0,0,35,0,0,0,0,0,1,0,"17N",844985.857146723,4723063.73994073
"40",40,428,"Macomb","9/19/2017",2017,"Black Creek Area Wetland",1,0,25,172,6,-82.80137463,42.58263105,95,"NV","Or/Sa",6,57,43,8,100,"percent_cover",1,0,0,5,5,0,0,0,5,1,1,"17N",844556.571879734,4723018.82799904
"41",41,428,"Macomb","9/19/2017",2017,"Black Creek Area Wetland",1,0,25,172,7,-82.80139006,42.58258369,91,"NV","Or/Sa",9,46,54,3,100,"percent_cover",25,0,0,5,15,0,0,0,15,1,1,"17N",844555.566727852,4723013.5050265
"42",42,428,"Macomb","9/19/2017",2017,"Black Creek Area Wetland",1,0,25,172,8,-82.80139265,42.58254061,92,"NV","Or/Sa",9,16,83,5,100,"percent_cover",50,0,0,4,25,0,0,0,25,1,1,"17N",844555.591825622,4723008.70976443
"43",43,428,"Macomb","9/19/2017",2017,"Black Creek Area Wetland",1,0,25,172,9,-82.80139793,42.58249694,100,"NV","Or/Sa",9,67,33,5,100,"percent_cover",10,0,0,7,10,0,0,0,10,1,1,"17N",844555.399391491,4723003.83800636
"44",44,428,"Macomb","9/19/2017",2017,"Black Creek Area Wetland",1,0,25,172,10,-82.80140338,42.58244807,95,"NV","Or/Sa",10,11,89,10,100,"percent_cover",15,0,0,3,50,0,0,0,50,1,1,"17N",844555.221692231,4722998.38801457
"45",45,428,"Macomb","9/19/2017",2017,"Black Creek Area Wetland",2,0,25,254,6,-82.80082126,42.58390627,86,"NV","Sand",5,62,38,10,100,"percent_cover",0,0,0,2,10,0,0,0,10,0,1,"17N",844594.954039784,4723162.71728282
"46",46,428,"Macomb","9/19/2017",2017,"Black Creek Area Wetland",2,0,25,254,7,-82.80079502,42.58394449,96,"NV","Sand",5,35,65,10,80,"percent_cover",0,0,0,3,20,0,0,0,20,0,1,"17N",844596.896786515,4723167.06920586
"47",47,428,"Macomb","9/19/2017",2017,"Black Creek Area Wetland",2,0,25,254,8,-82.80076711,42.58398355,91,"NV","Or/Sa",8,11,89,5,90,"percent_cover",0,0,0,6,30,0,0,0,30,0,1,"17N",844598.971960201,4723171.52123445
"48",48,428,"Macomb","9/19/2017",2017,"Black Creek Area Wetland",2,0,25,254,9,-82.8007366,42.58402504,91,"NV","Sand",13,0,100,3,50,"percent_cover",0,0,0,3,10,0,0,0,10,0,1,"17N",844601.247116212,4723176.25375525
"49",49,428,"Macomb","9/19/2017",2017,"Black Creek Area Wetland",2,0,25,254,10,-82.80071154,42.58406276,96,"NV","Cly/Snd",22,0,100,10,90,"percent_cover",0,0,0,7,12,0,0,0,12,0,1,"17N",844603.095765028,4723180.54533602
"50",50,428,"Macomb","9/19/2017",2017,"Black Creek Area Wetland",3,0,25,110,6,-82.79640995,42.5828748,95,"NV","Sand",4,67,33,3,75,"percent_cover",0,0,0,4,25,0,0,0,25,0,1,"17N",844962.709569745,4723066.15380554
"51",51,428,"Macomb","9/19/2017",2017,"Black Creek Area Wetland",3,0,25,110,7,-82.796361,42.58284512,91,"NV","Sand",4,48,52,5,100,"percent_cover",3,0,0,3,40,0,0,0,40,1,1,"17N",844966.891150215,4723063.05719209
"52",52,428,"Macomb","9/19/2017",2017,"Black Creek Area Wetland",3,0,25,110,8,-82.79631691,42.58282031,92,"NV","Cly/Snd",8,58,42,10,100,"percent_cover",0,0,0,30,5,0,0,0,5,0,1,"17N",844970.646942232,4723060.48163155
"53",53,428,"Macomb","9/19/2017",2017,"Black Creek Area Wetland",3,0,25,110,9,-82.79626511,42.5827929,91,"NV","Cly/Snd",9,40,60,5,100,"percent_cover",0,0,0,3,55,0,0,0,55,0,1,"17N",844975.049908322,4723057.64877532
"54",54,428,"Macomb","9/19/2017",2017,"Black Creek Area Wetland",3,0,25,110,10,-82.79621507,42.58276223,90,"NV","Cly/Snd",15,46,54,10,90,"percent_cover",0,0,0,30,5,0,0,0,5,0,1,"17N",844979.326431601,4723054.44666331
"55",55,432,"St. Clair","7/21/2015",2015,"Bouvier Bay Wetland",2,47,17,0,8,-82.600705,42.647653,45,"V","Or/Cl",5,0,100,1,10,"percent_cover",0,0,0,0,0,15,0,0,15,0,1,"17N",860650.842354067,4731078.48719499
"56",56,434,"St. Clair","7/24/2012",2012,"Dickenson Island Area Wetland",2,335,8,42,5,-82.640933,42.610478,0,"Dry","Sand",1,0,1,60,95,"percent_cover",0,0,0,1,0,0,0,0,0,0,0,"17N",857565.613979807,4726778.41058652
"57",57,434,"St. Clair","9/20/2017",2017,"Dickenson Island Area Wetland",2,0,165,0,10,-82.66038775,42.63195671,72,"V","Sand",4,50,50,1,30,"percent_cover",0,40,0,0,0,0,0,0,0,0,0,"17N",855846.936713012,4729081.81281246
"58",58,434,"St. Clair","9/20/2017",2017,"Dickenson Island Area Wetland",3,0,222,0,8,-82.65732006,42.63023573,87,"V","Cly/Snd",13,34,66,5,50,"percent_cover",0,60,0,0,0,0,0,0,0,0,0,"17N",856108.35740609,4728903.60311405
"59",59,442,"Huron","7/7/2011",2011,"Purdy Bay Wetland",1,10,55,40,1,-82.618205,43.768385,0,"Dry","Sand",3,15,45,0,40,"percent_cover",0,0,0,1,0,0,0,0,0,0,0,"17N",852685.37852322,4855486.70398057
"60",60,442,"Huron","7/7/2011",2011,"Purdy Bay Wetland",1,10,55,40,10,-82.617633,43.768441,3,"NV","Sand",20,0,3,0,100,"percent_cover",0,0,0,0,0,1,0,0,1,0,1,"17N",852731.092218704,4855495.3650684
"61",61,442,"Huron","7/7/2011",2011,"Purdy Bay Wetland",2,40,23,30,1,-82.617548,43.766752,1,"V","Sand",2,0,40,1,100,"percent_cover",0,25,0,0,0,0,0,0,0,0,0,"17N",852747.880190806,4855308.11812952
"62",62,442,"Huron","7/7/2011",2011,"Purdy Bay Wetland",2,40,23,30,2,-82.617453,43.766737,1,"V","Sand",2,5,46,1,60,"percent_cover",0,3,0,0,0,0,0,0,0,0,0,"17N",852755.615807427,4855306.85737726
"63",63,442,"Huron","7/7/2011",2011,"Purdy Bay Wetland",2,40,23,30,3,-82.617411,43.766748,1,"V","Sand",1,40,26,1,15,"percent_cover",0,4,0,0,0,0,0,0,0,0,0,"17N",852758.931938417,4855308.25846404
"64",64,442,"Huron","7/7/2011",2011,"Purdy Bay Wetland",2,40,23,30,4,-82.617326,43.766727,0,"Dry","Sand",1,2,36,1,80,"percent_cover",0,3,0,0,0,0,0,0,0,0,0,"17N",852765.89791341,4855306.28858406
"65",65,442,"Huron","7/7/2011",2011,"Purdy Bay Wetland",2,40,23,30,5,-82.617215,43.766719,0,"Dry","Sand",1,20,16.5,0,35,"percent_cover",0,1,0,0,0,0,0,0,0,0,0,"17N",852774.880280063,4855305.87367749
"66",66,442,"Huron","7/7/2011",2011,"Purdy Bay Wetland",2,40,23,30,6,-82.61699,43.766688,0,"Dry","Sand",5,0,33,1,100,"percent_cover",0,10,0,0,0,0,0,0,0,0,0,"17N",852793.174853116,4855303.39054392
"67",67,442,"Huron","7/7/2011",2011,"Purdy Bay Wetland",2,40,23,30,7,-82.616954,43.766683,0,"Dry","Sand",10,0,32,0,100,"percent_cover",0,10,0,0,0,0,0,0,0,0,0,"17N",852796.102222135,4855302.98880404
"68",68,442,"Huron","7/7/2011",2011,"Purdy Bay Wetland",2,40,23,30,8,-82.616917,43.766678,0,"Dry","Sand",10,0,92,35,100,"percent_cover",0,90,0,0,0,0,0,0,0,0,0,"17N",852799.110089503,4855302.59133345
"69",69,442,"Huron","7/7/2011",2011,"Purdy Bay Wetland",2,40,23,30,9,-82.616852,43.76668,0,"Dry","Sand",15,0,87,10,100,"percent_cover",0,85,0,0,0,0,0,0,0,0,0,"17N",852804.330671528,4855303.09091177
"70",70,442,"Huron","7/7/2011",2011,"Purdy Bay Wetland",2,40,23,30,10,-82.616786,43.766697,0,"Dry","Sand",15,4,66,2,95,"percent_cover",0,65,0,0,0,0,0,0,0,0,0,"17N",852809.54340802,4855305.26092278
"71",71,442,"Huron","7/7/2011",2011,"Purdy Bay Wetland",3,57,47,40,2,-82.618207,43.757146,0,"Dry","Pbl/Cbl",0,75,30.5,2,10,"percent_cover",0,1,0,0,0,0,0,0,0,0,0,"17N",852751.38373924,4854238.29745353
"72",72,442,"Huron","7/7/2011",2011,"Purdy Bay Wetland",3,57,47,40,3,-82.618078,43.757151,0,"Dry","Pbl/Cbl",0,85,37,1,7,"percent_cover",0,1,0,0,0,0,0,0,0,0,0,"17N",852761.740187608,4854239.40325268
"73",73,442,"Huron","7/7/2011",2011,"Purdy Bay Wetland",3,57,47,40,6,-82.617728,43.75707,0,"Dry","Sand",5,0,73,0,100,"percent_cover",0,70,0,0,0,0,0,0,0,0,0,"17N",852790.395801733,4854231.89944328
"74",74,442,"Huron","7/7/2011",2011,"Purdy Bay Wetland",3,57,47,40,7,-82.617574,43.757077,0,"Dry","Sand",30,0,90,0,100,"percent_cover",0,90,0,0,0,0,0,0,0,0,0,"17N",852802.753255866,4854233.33414008
"75",75,442,"Huron","7/7/2011",2011,"Purdy Bay Wetland",3,57,47,40,8,-82.617481,43.757054,0,"Dry","Sand",35,0,75,0,80,"percent_cover",0,75,0,0,0,0,0,0,0,0,0,"17N",852810.376175186,4854231.17622779
"76",76,442,"Huron","7/7/2011",2011,"Purdy Bay Wetland",3,57,47,40,9,-82.617411,43.75703,0,"Dry","Sand",20,10,23,0,15,"percent_cover",0,20,0,0,0,0,0,0,0,0,0,"17N",852816.153237828,4854228.80909436
"77",77,442,"Huron","7/7/2011",2011,"Purdy Bay Wetland",3,57,47,40,10,-82.617332,43.757032,11,"V","Sand",10,10,14,0,75,"percent_cover",0,10,0,0,0,0,0,0,0,0,0,"17N",852822.501821409,4854229.36838291
"78",80,446,"Huron","6/27/2014",2014,"Hardwood Point Wetland",3,12,35,50,9,-82.699062,43.92562,25,"V","Sand",20,5,95,2,20,"percent_cover",0,0,2,0,0,0,0,0,0,0,0,"17N",845266.84208092,4872610.17832166
"79",81,447,"Huron","7/3/2013",2013,"St. Margaret Mission Wetland",1,140,11,25,7,-82.668954,43.877282,0.5,"V","BdRck",1,15,35,2,60,"percent_cover",0,0,0,2,0,0,0,0,0,0,0,"17N",847965.9767036,4867367.43595338
"80",82,447,"Huron","7/9/2018",2018,"St. Margaret Mission Wetland",3,0,42,68,9,-82.672733,43.877411,44,"V","Sand",1,10,90,2,50,"percent_cover",0,0,8,0,0,0,0,0,0,0,0,"17N",847661.589111281,4867365.83294333
"81",86,460,"Huron","6/21/2012",2012,"Caseville Township Wetland",1,56,60,94,1,-83.33255343,43.89979315,0,"Dry","Sand",0,5,12,3,95,"percent_cover",0,2,0,0,0,0,0,0,0,0,0,"17N",794536.657816241,4867284.0939741
"82",87,460,"Huron","6/21/2012",2012,"Caseville Township Wetland",1,56,60,94,2,-83.33259601,43.89973104,0,"Dry","Sand",0,80,10,1,5,"percent_cover",0,3,0,0,0,0,0,0,0,0,0,"17N",794533.544602355,4867277.04312783
"83",88,460,"Huron","6/21/2012",2012,"Caseville Township Wetland",1,56,60,94,3,-83.33270037,43.89967019,0,"Dry","Cly/Slt",0,0,12,4,95,"percent_cover",0,3,0,0,0,0,0,0,0,0,0,"17N",794525.463266823,4867269.91171445
"84",89,460,"Huron","6/21/2012",2012,"Caseville Township Wetland",1,56,60,94,4,-83.33280472,43.89956634,0,"Dry","Cly/Slt",0,0,22,20,100,"percent_cover",0,20,0,0,0,0,0,0,0,0,0,"17N",794517.594979774,4867258.00413291
"85",90,460,"Huron","6/21/2012",2012,"Caseville Township Wetland",1,56,60,94,5,-83.3329079,43.89946274,0,"Dry","Cly/Slt",0,0,26,5,100,"percent_cover",0,25,0,0,0,0,0,0,0,0,0,"17N",794509.819397993,4867246.12850695
"86",91,460,"Huron","6/21/2012",2012,"Caseville Township Wetland",1,56,60,94,6,-83.33298284,43.89940867,0,"Dry","Cly/Slt",0,92,8,1,7,"percent_cover",0,3,0,0,0,0,0,0,0,0,0,"17N",794504.067424833,4867239.85521755
"87",92,460,"Huron","6/21/2012",2012,"Caseville Township Wetland",2,25,219,36,4,-83.3378782,43.9016655,20,"V","Cly/Slt",10,10,42,40,60,"percent_cover",0,0,0,20,0,20,0,0,20,0,1,"17N",794099.767036269,4867473.07129002
"88",93,460,"Huron","6/21/2012",2012,"Caseville Township Wetland",2,25,219,36,5,-83.33780117,43.90163558,20,"V","Cly/Slt",15,10,34,35,40,"percent_cover",0,0,0,15,0,15,0,0,15,0,1,"17N",794106.10103261,4867470.02250312
"89",94,460,"Huron","6/21/2012",2012,"Caseville Township Wetland",3,19,24,75,3,-83.33489265,43.9024337,10,"V","Cly/Snd",5,0,30,35,100,"percent_cover",0,0,0,15,0,0,0,0,0,0,0,"17N",794335.754913554,4867569.04502548
"90",95,460,"Huron","6/21/2012",2012,"Caseville Township Wetland",3,19,24,75,4,-83.33492811,43.90243144,10,"V","Cly/Snd",5,0,35,40,100,"percent_cover",0,0,0,25,0,0,0,0,0,0,0,"17N",794332.918207297,4867568.66749943
"91",96,460,"Huron","6/21/2012",2012,"Caseville Township Wetland",3,19,24,75,5,-83.33495812,43.90240596,15,"V","Cly/Snd",5,0,40,25,100,"percent_cover",0,0,0,25,0,0,0,0,0,0,0,"17N",794330.633760487,4867565.73025982
"92",97,460,"Huron","6/21/2012",2012,"Caseville Township Wetland",3,19,24,75,6,-83.33498846,43.90232549,35,"V","Cly/Snd",10,0,100,25,100,"percent_cover",0,0,0,10,0,5,0,0,5,0,1,"17N",794328.594109732,4867556.68384181
"93",98,460,"Huron","6/21/2012",2012,"Caseville Township Wetland",3,19,24,75,7,-83.33491897,43.90226036,25,"V","Cly/Snd",10,0,75,25,100,"percent_cover",0,0,0,5,0,20,0,0,20,0,1,"17N",794334.496320988,4867549.69743132
"94",99,460,"Huron","6/21/2012",2012,"Caseville Township Wetland",3,19,24,75,8,-83.33491998,43.90221971,25,"V","Cly/Snd",10,0,55,20,100,"percent_cover",0,0,0,0,0,15,0,0,15,0,1,"17N",794334.615761816,4867545.1786386
"95",100,460,"Huron","6/21/2012",2012,"Caseville Township Wetland",3,19,24,75,9,-83.33493398,43.9021783,30,"V","Cly/Snd",10,0,100,20,100,"percent_cover",0,0,0,5,0,25,0,0,25,0,1,"17N",794333.695697226,4867540.52908987
"96",101,460,"Huron","6/21/2012",2012,"Caseville Township Wetland",3,19,24,75,10,-83.33492383,43.90214997,30,"V","Sand",10,0,100,20,100,"percent_cover",0,0,0,0,0,30,0,0,30,0,1,"17N",794334.650637644,4867537.41854949
"97",102,461,"Huron","6/25/2014",2014,"Wildfowl Bay Wetland",1,315,170,100,6,-83.331454,43.884494,18,"V","Sand",5,85,15,30,95,"percent_cover",0,0,0,0.5,0,0,0,0,0,0,0,"17N",794700.498447459,4865588.67093296
"98",103,461,"Huron","6/25/2014",2014,"Wildfowl Bay Wetland",2,216,170,50,1,-83.335171,43.877232,0,"Dry","Sand",2,85,15,3,95,"percent_cover",0,0,0,2,0,0,0,0,0,0,0,"17N",794437.701739819,4864768.78250023
"99",104,461,"Huron","6/25/2014",2014,"Wildfowl Bay Wetland",3,112,185,25,1,-83.347042,43.865848,0,"Dry","Sand",2,90,10,20,100,"percent_cover",0,0,0,1,0,0,0,0,0,0,0,"17N",793539.864682079,4863462.03754409
"100",105,461,"Huron","6/25/2014",2014,"Wildfowl Bay Wetland",3,112,185,25,10,-83.350587,43.866547,35,"V","Sand",2,65,35,3,90,"percent_cover",0,0,6,0,0,0,0,0,0,0,0,"17N",793251.552846681,4863527.08106701
"101",108,466,"Huron","7/9/2011",2011,"North Island Wetland",1,149,27,34,1,-83.430288,43.882917,0,"Dry","Sand",0,4,26,2,90,"percent_cover",0,5,0,0,0,0,0,0,0,0,0,"17N",786768.15905281,4865065.37704355
"102",109,466,"Huron","7/9/2011",2011,"North Island Wetland",1,149,27,34,3,-83.430901,43.883002,0,"Dry","Pbl/Cbl",0,40,21,4,50,"percent_cover",0,6,0,0,0,0,0,0,0,0,0,"17N",786718.503760965,4865072.68888162
"103",110,466,"Huron","7/9/2011",2011,"North Island Wetland",1,149,27,34,4,-83.43122,43.883038,0,"Dry","Pbl/Cbl",0,80,9,2,15,"percent_cover",0,3,0,0,0,0,0,0,0,0,0,"17N",786692.703160791,4865075.57954099
"104",111,466,"Huron","7/9/2011",2011,"North Island Wetland",1,149,27,34,5,-83.431539,43.883062,0,"Dry","Pbl/Cbl",0,5,33,2,90,"percent_cover",0,3,0,0,0,0,0,0,0,0,0,"17N",786666.960211283,4865077.13741042
"105",112,466,"Huron","7/9/2011",2011,"North Island Wetland",1,149,27,34,6,-83.432014,43.883124,10,"V","Sand",1,15,27,2,75,"percent_cover",0,20,0,0,0,0,0,0,0,0,0,"17N",786628.502182239,4865082.3744807
