"","�..OID_","sit_d","trns_","date","crw_n","year","pnt_n","crd_q","wtr__","bttm_","sbst_","org__","unvg_","ttl__","stn__","dtrt_","varbl","Hyd__","Phrgmts_st","Phrgmts__1","Typh_n","Typh_g","Typh_l","Typ__","typh_","st_nm","conty","crw_c","obsrv","qa_dn","qr_fl","berng","wdth_md","wdth_mr","wdth_s","cmmnt","NEAR_FID","NEAR_DIST","MeanFetch","SD_Fetch","MeanREI","SD_REI","UTM_X","UTM_Y","EFB_cover","typ_cover","hyd_bin","folds"
"11",10,1152,1,"8/1/2016","NRRI/UWS",2016,7,"Excellent",29,"NV","Sand",31,60,40,35,20,"percent_cover",0,0,0,0,25,0,0,25,"Dead River Wetland","Marquette","N. Dahlberg","R. Rutherford",1,0,200,0,32,0,"There wasn't much a wetland here - it was mostly dominated by alders. Our transects were draw in only cattail, however, there were other areas of the wetland with sledges and different emergent plants.",118,1074.87077,183.0517578,3.7645199,1570.089966,71.4949036,469364.7777,5158476.609,0,0.25,0,1
"12",11,1152,1,"8/1/2016","NRRI/UWS",2016,8,"Excellent",44,"NV","Sand",38,50,50,25,40,"percent_cover",0,0,0,0,30,0,0,30,"Dead River Wetland","Marquette","N. Dahlberg","R. Rutherford",1,0,200,0,32,0,"There wasn't much a wetland here - it was mostly dominated by alders. Our transects were draw in only cattail, however, there were other areas of the wetland with sledges and different emergent plants.",118,1078.875241,183.0517578,3.7645199,1570.089966,71.4949036,469361.9946,5158471.734,0,0.3,0,1
"13",12,1152,1,"8/1/2016","NRRI/UWS",2016,9,"Excellent",41,"NV","Sand",15,60,40,20,10,"percent_cover",0,0,0,0,35,0,0,35,"Dead River Wetland","Marquette","N. Dahlberg","R. Rutherford",1,0,200,0,32,0,"There wasn't much a wetland here - it was mostly dominated by alders. Our transects were draw in only cattail, however, there were other areas of the wetland with sledges and different emergent plants.",118,1079.516013,183.0517578,3.7645199,1570.089966,71.4949036,469362.0582,5158469.177,0,0.35,0,1
"14",13,1152,1,"8/1/2016","NRRI/UWS",2016,10,"Excellent",45,"NV","Sand",11,70,30,40,50,"percent_cover",0,0,0,0,30,0,0,30,"Dead River Wetland","Marquette","N. Dahlberg","R. Rutherford",1,0,200,0,32,0,"There wasn't much a wetland here - it was mostly dominated by alders. Our transects were draw in only cattail, however, there were other areas of the wetland with sledges and different emergent plants.",118,1083.881576,183.0517578,3.7645199,1570.089966,71.4949036,469359.3444,5158462.857,0,0.3,0,1
"15",14,1152,1,"8/12/2011","NRRI/UWS",2011,6,"Excellent",0,"NV","Cly/Slt",10,2,98,20,90,"percent_cover",0,0,0,25,0,0,0,25,"Dead River Wetland","Marquette","M. Jahnke","C. Closson, M. Hogfeldt",1,0,160,0,30,20," ",118,1034.73953,183.0517578,3.7645199,1570.089966,71.4949036,469408.0097,5158471.5,0,0.25,0,1
"16",15,1152,1,"8/12/2011","NRRI/UWS",2011,7,"Excellent",0,"NV","Cly/Slt",10,38,62,25,80,"percent_cover",0,0,0,20,0,0,0,20,"Dead River Wetland","Marquette","M. Jahnke","C. Closson, M. Hogfeldt",1,0,160,0,30,20," ",118,1036.785254,183.0517578,3.7645199,1570.089966,71.4949036,469403.0936,5158481.035,0,0.2,0,1
"17",16,1152,1,"8/12/2011","NRRI/UWS",2011,8,"Excellent",0,"NV","Cly/Slt",10,70,30,25,60,"percent_cover",0,0,0,25,0,0,0,25,"Dead River Wetland","Marquette","M. Jahnke","C. Closson, M. Hogfeldt",1,0,160,0,30,20," ",118,1033.770165,183.0517578,3.7645199,1570.089966,71.4949036,469411.0143,5158464.891,0,0.25,0,1
"18",17,1152,1,"8/12/2011","NRRI/UWS",2011,9,"Excellent",4,"V","Cly/Slt",10,85,15,60,90,"percent_cover",0,0,0,10,0,0,0,10,"Dead River Wetland","Marquette","M. Jahnke","C. Closson, M. Hogfeldt",1,0,160,0,30,20," ",118,1041.48467,183.0517578,3.7645199,1570.089966,71.4949036,469404.9889,5158458.252,0,0.1,0,1
"19",18,1152,1,"8/12/2011","NRRI/UWS",2011,10,"Excellent",12,"V","Cly/Slt",2,75,25,5,80,"percent_cover",0,0,0,25,0,0,0,25,"Dead River Wetland","Marquette","M. Jahnke","C. Closson, M. Hogfeldt",1,0,160,0,30,20," ",118,1037.404111,183.0517578,3.7645199,1570.089966,71.4949036,469409.1015,5158458.763,0,0.25,0,1
"20",19,1152,2,"7/21/2021","NRRI/UWS",2021,6,"Excellent",3,"NV","Sand",40,65,35,90,100,"percent_cover",0,0,0,0,35,0,0,35,"Dead River Wetland","Marquette","R. Rutherford","J. Hartsock",1,0,135,0,75,0," ",118,1127.742787,172.7884979,5.2122002,1462.280029,62.6665993,469301.582,5158510.266,0,0.35,0,1
"21",20,1152,2,"7/21/2021","NRRI/UWS",2021,7,"Excellent",7,"NV","Sand",70,80,20,90,70,"percent_cover",0,0,0,0,20,0,0,20,"Dead River Wetland","Marquette","R. Rutherford","J. Hartsock",1,0,135,0,75,0," ",118,1125.616177,172.7884979,5.2122002,1462.280029,62.6665993,469305.7537,5158501.91,0,0.2,0,1
"22",21,1152,2,"7/21/2021","NRRI/UWS",2021,8,"Excellent",7,"NV","Sand",80,85,15,100,80,"percent_cover",0,0,0,0,15,0,0,15,"Dead River Wetland","Marquette","R. Rutherford","J. Hartsock",1,0,135,0,75,0," ",118,1122.292407,172.7884979,5.2122002,1462.280029,62.6665993,469311.1531,5158493.882,0,0.15,0,1
"23",22,1152,2,"7/21/2021","NRRI/UWS",2021,9,"Excellent",12,"NV","Sand",90,75,25,80,70,"percent_cover",0,0,0,0,25,0,0,25,"Dead River Wetland","Marquette","R. Rutherford","J. Hartsock",1,0,135,0,75,0," ",118,1119.846018,172.7884979,5.2122002,1462.280029,62.6665993,469316.0106,5158484.746,0,0.25,0,1
"24",23,1152,2,"8/1/2016","NRRI/UWS",2016,6,"Excellent",29,"NV","Sand",35,55,45,20,30,"percent_cover",0,0,0,0,30,0,0,30,"Dead River Wetland","Marquette","N. Dahlberg","R. Rutherford",1,0,172,0,57,0,"There wasn't much a wetland here - it was mostly dominated by alders. Our transects were draw in only cattail, however, there were other areas of the wetland with sledges and different emergent plants.",118,1128.358951,172.7884979,5.2122002,1462.280029,62.6665993,469304.6455,5158494.915,0,0.3,0,1
"25",24,1152,2,"8/1/2016","NRRI/UWS",2016,7,"Excellent",31,"NV","Sand",77,65,35,30,15,"percent_cover",0,0,0,0,35,0,0,35,"Dead River Wetland","Marquette","N. Dahlberg","R. Rutherford",1,0,172,0,57,0,"There wasn't much a wetland here - it was mostly dominated by alders. Our transects were draw in only cattail, however, there were other areas of the wetland with sledges and different emergent plants.",118,1124.832601,172.7884979,5.2122002,1462.280029,62.6665993,469309.8246,5158488.777,0,0.35,0,1
"26",25,1152,2,"8/1/2016","NRRI/UWS",2016,8,"Excellent",36,"NV","Sand",116,60,40,25,15,"percent_cover",0,0,0,0,40,0,0,40,"Dead River Wetland","Marquette","N. Dahlberg","R. Rutherford",1,0,172,0,57,0,"There wasn't much a wetland here - it was mostly dominated by alders. Our transects were draw in only cattail, however, there were other areas of the wetland with sledges and different emergent plants.",118,1121.176084,172.7884979,5.2122002,1462.280029,62.6665993,469315.6838,5158480.747,0,0.4,0,1
"27",26,1152,2,"8/1/2016","NRRI/UWS",2016,10,"Excellent",39,"NV","Sand",37,50,50,20,15,"percent_cover",0,0,0,0,50,0,0,50,"Dead River Wetland","Marquette","N. Dahlberg","R. Rutherford",1,0,172,0,57,0,"There wasn't much a wetland here - it was mostly dominated by alders. Our transects were draw in only cattail, however, there were other areas of the wetland with sledges and different emergent plants.",118,1119.37372,199.2987518,5.85744,1691,73.1168976,469322.0364,5158464.269,0,0.5,0,1
"28",27,1152,2,"8/12/2011","NRRI/UWS",2011,1,"Excellent",0,"NV","Sand",2,49,51,5,80,"percent_cover",0,0,0,8,0,0,0,8,"Dead River Wetland","Marquette","M. Jahnke","C. Closson, M. Hogfeldt",1,0,160,25,35,0," ",118,1117.294802,172.7884979,5.2122002,1462.280029,62.6665993,469323.4611,5158466.891,0,0.08,0,1
"29",28,1152,2,"8/12/2011","NRRI/UWS",2011,2,"Excellent",0,"NV","Sand",2,27,73,3,90,"percent_cover",0,0,0,25,0,0,0,25,"Dead River Wetland","Marquette","M. Jahnke","C. Closson, M. Hogfeldt",1,0,160,25,35,0," ",118,1114.523762,189.9872437,4.6916599,1620.73999,72.4656982,469326.2058,5158467.36,0,0.25,0,1
"30",29,1152,2,"8/12/2011","NRRI/UWS",2011,3,"Excellent",0,"NV","Sand",2,20,80,20,15,"percent_cover",0,0,0,15,0,0,0,15,"Dead River Wetland","Marquette","M. Jahnke","C. Closson, M. Hogfeldt",1,0,160,25,35,0," ",118,1121.644846,172.7884979,5.2122002,1462.280029,62.6665993,469319.0218,5158466.624,0,0.15,0,1
"31",30,1152,2,"8/12/2011","NRRI/UWS",2011,4,"Excellent",0,"NV","Sand",2,64,36,10,95,"percent_cover",0,0,0,20,0,0,0,20,"Dead River Wetland","Marquette","M. Jahnke","C. Closson, M. Hogfeldt",1,0,160,25,35,0," ",118,1121.940351,172.7884979,5.2122002,1462.280029,62.6665993,469319.1615,5158465.021,0,0.2,0,1
"32",31,1152,2,"8/12/2011","NRRI/UWS",2011,5,"Excellent",0,"NV","Sand",4,67,33,15,95,"percent_cover",0,0,0,30,0,0,0,30,"Dead River Wetland","Marquette","M. Jahnke","C. Closson, M. Hogfeldt",1,0,160,25,35,0," ",118,1129.502048,172.7884979,5.2122002,1462.280029,62.6665993,469311.2815,5158465.145,0,0.3,0,1
"33",32,1152,2,"8/12/2011","NRRI/UWS",2011,6,"Excellent",0,"NV","Cly/Slt",10,71,29,10,70,"percent_cover",0,0,0,20,0,0,0,20,"Dead River Wetland","Marquette","M. Jahnke","C. Closson, M. Hogfeldt",1,0,160,25,35,0," ",118,1122.992132,172.7884979,5.2122002,1462.280029,62.6665993,469309.8088,5158496.383,0,0.2,0,1
"34",33,1152,2,"8/12/2011","NRRI/UWS",2011,7,"Excellent",0,"NV","Cly/Slt",10,23,77,35,95,"percent_cover",0,0,0,30,0,0,0,30,"Dead River Wetland","Marquette","M. Jahnke","C. Closson, M. Hogfeldt",1,0,160,25,35,0," ",118,1122.599628,172.7884979,5.2122002,1462.280029,62.6665993,469311.4473,5158491.456,0,0.3,0,1
"35",34,1152,2,"8/12/2011","NRRI/UWS",2011,8,"Excellent",0,"NV","Cly/Slt",10,25,75,20,95,"percent_cover",0,0,0,25,0,0,0,25,"Dead River Wetland","Marquette","M. Jahnke","C. Closson, M. Hogfeldt",1,0,160,25,35,0," ",118,1121.866426,172.7884979,5.2122002,1462.280029,62.6665993,469313.1434,5158487.768,0,0.25,0,1
"36",35,1152,2,"8/12/2011","NRRI/UWS",2011,9,"Excellent",0,"NV","Cly/Slt",0,65,35,40,30,"percent_cover",0,0,0,35,0,0,0,35,"Dead River Wetland","Marquette","M. Jahnke","C. Closson, M. Hogfeldt",1,0,160,25,35,0," ",118,1122.049372,172.7884979,5.2122002,1462.280029,62.6665993,469315.7736,5158477.007,0,0.35,0,1
"37",36,1152,2,"8/12/2011","NRRI/UWS",2011,10,"Excellent",2,"NV","Cly/Slt",5,50,50,30,60,"percent_cover",0,0,0,40,0,0,0,40,"Dead River Wetland","Marquette","M. Jahnke","C. Closson, M. Hogfeldt",1,0,160,25,35,0," ",118,1120.071668,172.7884979,5.2122002,1462.280029,62.6665993,469319.2913,5158471.568,0,0.4,0,1
"38",37,1152,3,"7/21/2021","NRRI/UWS",2021,1,"Excellent",12," ","Sand",60,30,70,20,70,"percent_cover",0,0,0,0,0,5,0,5,"Dead River Wetland","Marquette","R. Rutherford","J. Hartsock",1,0,155,70,30,0," ",118,1231.518472,177.3827515,8.2725801,1468.76001,77.5294037,469198.9767,5158493.564,0,0.05,0,1
"39",38,1152,3,"7/21/2021","NRRI/UWS",2021,3,"Excellent",8," ","Sand",50,60,40,50,60,"percent_cover",0,0,0,3,0,0,0,3,"Dead River Wetland","Marquette","R. Rutherford","J. Hartsock",1,0,155,70,30,0," ",118,1225.664916,182.497757,7.8989801,1520.619995,76.8937988,469209.6045,5158474.064,0,0.03,0,1
"40",39,1152,3,"7/21/2021","NRRI/UWS",2021,5,"Excellent",0," ","Sand",60,40,60,50,60,"percent_cover",0,0,0,0,1,0,0,1,"Dead River Wetland","Marquette","R. Rutherford","J. Hartsock",1,0,155,70,30,0," ",118,1220.985758,182.497757,7.8989801,1520.619995,76.8937988,469219.465,5158454.345,0,0.01,0,1
"41",40,1152,3,"7/21/2021","NRRI/UWS",2021,6,"Excellent",10," ","Sand",5,70,30,20,50,"percent_cover",0,0,0,0,30,0,0,30,"Dead River Wetland","Marquette","R. Rutherford","J. Hartsock",1,0,155,70,30,0," ",118,1213.553225,207.9615021,8.1559,1732.479981,81.0711975,469230.0609,5158443.623,0,0.3,0,1
"42",41,1152,3,"7/21/2021","NRRI/UWS",2021,7,"Excellent",12," ","Sand",10,50,50,40,60,"percent_cover",0,0,0,0,40,0,0,40,"Dead River Wetland","Marquette","R. Rutherford","J. Hartsock",1,0,155,70,30,0," ",118,1216.819337,207.9615021,8.1559,1732.479981,81.0711975,469226.9149,5158442.751,0,0.4,0,1
"43",42,1152,3,"7/21/2021","NRRI/UWS",2021,8,"Excellent",3," ","Sand",2,50,50,60,70,"percent_cover",0,0,0,0,40,0,0,40,"Dead River Wetland","Marquette","R. Rutherford","J. Hartsock",1,0,155,70,30,0," ",118,1222.895449,207.9615021,8.1559,1732.479981,81.0711975,469221.1582,5158440.78,0,0.4,0,1
"44",43,1152,3,"7/21/2021","NRRI/UWS",2021,9,"Excellent",10," ","Sand",3,35,65,30,50,"percent_cover",0,0,0,0,35,0,0,35,"Dead River Wetland","Marquette","R. Rutherford","J. Hartsock",1,0,155,70,30,0," ",118,1232.797748,207.9615021,8.1559,1732.479981,81.0711975,469211.6431,5158438.05,0,0.35,0,1
"45",44,1152,3,"7/21/2021","NRRI/UWS",2021,10,"Excellent",10," ","Sand",8,40,60,50,50,"percent_cover",0,0,0,0,35,0,0,35,"Dead River Wetland","Marquette","R. Rutherford","J. Hartsock",1,0,155,70,30,0," ",118,1234.821452,207.9615021,8.1559,1732.479981,81.0711975,469208.7462,5158440.954,0,0.35,0,1
"46",45,1152,3,"8/1/2016","NRRI/UWS",2016,6,"Excellent",32,"NV","Sand",4,85,15,5,15,"percent_cover",0,0,0,0,10,0,0,10,"Dead River Wetland","Marquette","N. Dahlberg","R. Rutherford",1,0,135,0,21,0,"There wasn't much a wetland here - it was mostly dominated by alders. Our transects were draw in only cattail, however, there were other areas of the wetland with sledges and different emergent plants.",118,1244.787505,204.4247437,9.1027298,1690.52002,85.4838028,469199.5307,5158436.889,0,0.1,0,1
"47",46,1152,3,"8/1/2016","NRRI/UWS",2016,7,"Excellent",33,"NV","Sand",22,70,30,5,2,"percent_cover",0,0,0,0,5,0,0,5,"Dead River Wetland","Marquette","N. Dahlberg","R. Rutherford",1,0,135,0,21,0,"There wasn't much a wetland here - it was mostly dominated by alders. Our transects were draw in only cattail, however, there were other areas of the wetland with sledges and different emergent plants.",118,1244.165563,207.9615021,8.1559,1732.479981,81.0711975,469200.8214,5158434.549,0,0.05,0,1
"48",47,1152,3,"8/1/2016","NRRI/UWS",2016,8,"Excellent",41,"V","Sand",1,77,23,5,5,"percent_cover",0,0,0,0,10,0,0,10,"Dead River Wetland","Marquette","N. Dahlberg","R. Rutherford",1,0,135,0,21,0,"There wasn't much a wetland here - it was mostly dominated by alders. Our transects were draw in only cattail, however, there were other areas of the wetland with sledges and different emergent plants.",118,1240.339082,207.9615021,8.1559,1732.479981,81.0711975,469205.1065,5158433.416,0,0.1,0,1
"49",48,1152,3,"8/1/2016","NRRI/UWS",2016,9,"Excellent",44,"NV","Sand",2,60,40,5,3,"percent_cover",0,0,0,0,7,0,0,7,"Dead River Wetland","Marquette","N. Dahlberg","R. Rutherford",1,0,135,0,21,0,"There wasn't much a wetland here - it was mostly dominated by alders. Our transects were draw in only cattail, however, there were other areas of the wetland with sledges and different emergent plants.",118,1234.363149,207.9615021,8.1559,1732.479981,81.0711975,469211.1624,5158433.941,0,0.07,0,1
"50",49,1152,3,"8/1/2016","NRRI/UWS",2016,10,"Excellent",31,"NV","Sand",12,98,2,2,40,"percent_cover",0,0,0,0,2,0,0,2,"Dead River Wetland","Marquette","N. Dahlberg","R. Rutherford",1,0,135,0,21,0,"There wasn't much a wetland here - it was mostly dominated by alders. Our transects were draw in only cattail, however, there were other areas of the wetland with sledges and different emergent plants.",118,1235.865931,207.9615021,8.1559,1732.479981,81.0711975,469210.0057,5158432.502,0,0.02,0,1
"51",50,1152,4,"8/12/2011","NRRI/UWS",2011,6,"Excellent",18,"V","Sand",2,85,15,2,80,"percent_cover",0,0,0,8,0,0,0,8,"Dead River Wetland","Marquette","M. Jahnke","C. Closson, M. Hogfeldt",1,0,164,60,25,0," ",118,1175.075793,172.7884979,5.2122002,1462.280029,62.6665993,469268.6609,5158448.392,0,0.08,0,1
"52",51,1152,4,"8/12/2011","NRRI/UWS",2011,7,"Excellent",10,"V","Cly/Slt",0,70,30,2,80,"percent_cover",0,0,0,20,0,0,0,20,"Dead River Wetland","Marquette","M. Jahnke","C. Closson, M. Hogfeldt",1,0,164,60,25,0," ",118,1178.739526,172.7884979,5.2122002,1462.280029,62.6665993,469264.0574,5158451.256,0,0.2,0,1
"53",52,1152,4,"8/12/2011","NRRI/UWS",2011,8,"Excellent",5,"V","Cly/Slt",9,61,39,5,95,"percent_cover",0,0,0,30,0,0,0,30,"Dead River Wetland","Marquette","M. Jahnke","C. Closson, M. Hogfeldt",1,0,164,60,25,0," ",118,1184.969141,182.4042511,6.7378101,1531.050049,70.0159988,469258.8013,5158446.923,0,0.3,0,1
"54",53,1152,4,"8/12/2011","NRRI/UWS",2011,9,"Excellent",11,"V","Cly/Slt",6,88,12,4,100,"percent_cover",0,0,0,9,0,0,0,9,"Dead River Wetland","Marquette","M. Jahnke","C. Closson, M. Hogfeldt",1,0,164,60,25,0," ",118,1171.903425,172.7884979,5.2122002,1462.280029,62.6665993,469270.8644,5158452.283,0,0.09,0,1
"55",54,1152,4,"8/12/2011","NRRI/UWS",2011,10,"Excellent",5,"V","Cly/Slt",10,59,41,25,100,"percent_cover",0,0,0,40,0,0,0,40,"Dead River Wetland","Marquette","M. Jahnke","C. Closson, M. Hogfeldt",1,0,164,60,25,0," ",118,1169.294701,172.7884979,5.2122002,1462.280029,62.6665993,469273.3728,5158452.996,0,0.4,0,1
"56",55,1275,2,"7/11/2018","CMU",2018,2,"Excellent",30,"NV","Sand",30,23,77,1,100,"percent_cover",0,0,0,0,5,0,0,5,"Betsie River Wetland","Benzie","M. Sand","G. Beels",1,0,20,27,0,37,"Transect 2: No true emergent zone, typha found sparsely around edges. Went farther than suggested to start zone, to include area that was flooded out. Transect 4: No emergent zone. Wet meadow drops off to 1 m + of water with potamogeton sp. and  a few sp",191,2014.436457,0,0,0,0,562121.3029,4940585.438,0,0.05,0,4
"57",56,1275,2,"7/11/2018","CMU",2018,4,"Excellent",20,"NV","Sand",50,30,70,15,100,"percent_cover",0,0,0,0,10,0,0,10,"Betsie River Wetland","Benzie","M. Sand","G. Beels",1,0,20,27,0,37,"Transect 2: No true emergent zone, typha found sparsely around edges. Went farther than suggested to start zone, to include area that was flooded out. Transect 4: No emergent zone. Wet meadow drops off to 1 m + of water with potamogeton sp. and  a few sp",191,2007.006197,0,0,0,0,562120.0361,4940593.425,0,0.1,0,4
"58",57,1275,2,"7/25/2019","CMU",2019,3,"Confirmed",70,"NV","Cly/Slt",16,64,36,5,100,"percent_cover",0,0,0,0,0.5,0,0,0.5,"Betsie River Wetland","Benzie","A. Kneisel","A. Kneisel",1,0,64,13,0,39,"T1: No meadow or emergent, T2: No emergent; standing dead in Q5 is dead Alnus incana amd typha, T3: No emergent",191,2019.513816,0,0,0,0,562139.7359,4940591.17,0,0.005,0,4
"59",58,1275,2,"7/25/2019","CMU",2019,5,"Confirmed",86,"NV","Cly/Slt",25,93,7,45,100,"percent_cover",0,0,0,0,0.5,0,0,0.5,"Betsie River Wetland","Benzie","A. Kneisel","A. Kneisel",1,0,64,13,0,39,"T1: No meadow or emergent, T2: No emergent; standing dead in Q5 is dead Alnus incana amd typha, T3: No emergent",191,2021.145762,0,0,0,0,562144.0128,4940591.989,0,0.005,0,4
"60",59,1275,3,"7/11/2018","CMU",2018,1,"Excellent",0,"Dry","Cly/Slt",60,0,100,5,80,"percent_cover",0,0,0,12,0,0,0,12,"Betsie River Wetland","Benzie","M. Sand","G. Beels",1,0,185,14,13,29,"Transect 2: No true emergent zone, typha found sparsely around edges. Went farther than suggested to start zone, to include area that was flooded out. Transect 4: No emergent zone. Wet meadow drops off to 1 m + of water with potamogeton sp. and  a few sp",191,1592.631767,0,0,0,0,561907.5523,4940949.21,0,0.12,0,4
"61",60,1275,3,"7/11/2018","CMU",2018,2,"Excellent",0,"Dry","Cly/Slt",35,0,100,10,90,"percent_cover",0,0,0,25,0,0,0,25,"Betsie River Wetland","Benzie","M. Sand","G. Beels",1,0,185,14,13,29,"Transect 2: No true emergent zone, typha found sparsely around edges. Went farther than suggested to start zone, to include area that was flooded out. Transect 4: No emergent zone. Wet meadow drops off to 1 m + of water with potamogeton sp. and  a few sp",191,1594.279314,0,0,0,0,561906.7823,4940946.759,0,0.25,0,4
"62",61,1275,3,"7/11/2018","CMU",2018,3,"Excellent",0,"Dry","Cly/Slt",55,40,60,3,60,"percent_cover",0,0,0,20,0,0,0,20,"Betsie River Wetland","Benzie","M. Sand","G. Beels",1,0,185,14,13,29,"Transect 2: No true emergent zone, typha found sparsely around edges. Went farther than suggested to start zone, to include area that was flooded out. Transect 4: No emergent zone. Wet meadow drops off to 1 m + of water with potamogeton sp. and  a few sp",191,1598.098062,0,0,0,0,561906.7465,4940942.204,0,0.2,0,4
"63",62,1275,3,"7/11/2018","CMU",2018,4,"Excellent",1,"NV","Cly/Slt",49,5,95,2,100,"percent_cover",0,0,0,5,0,0,0,5,"Betsie River Wetland","Benzie","M. Sand","G. Beels",1,0,185,14,13,29,"Transect 2: No true emergent zone, typha found sparsely around edges. Went farther than suggested to start zone, to include area that was flooded out. Transect 4: No emergent zone. Wet meadow drops off to 1 m + of water with potamogeton sp. and  a few sp",191,1600.383131,0,0,0,0,561907.8763,4940940.215,0,0.05,0,4
"64",63,1275,3,"7/11/2018","CMU",2018,5,"Excellent",2,"NV","Cly/Slt",68,15,85,2,80,"percent_cover",0,0,0,5,0,0,0,5,"Betsie River Wetland","Benzie","M. Sand","G. Beels",1,0,185,14,13,29,"Transect 2: No true emergent zone, typha found sparsely around edges. Went farther than suggested to start zone, to include area that was flooded out. Transect 4: No emergent zone. Wet meadow drops off to 1 m + of water with potamogeton sp. and  a few sp",191,1601.79547,0,0,0,0,561907.1825,4940938.098,0,0.05,0,4
